fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Lucie Pudilova,UFC Fight Night: Cerrone vs. Medeiros,"Feb. 18, 2018",Sarah Moras,Women's Bantamweight Bout,Lucie Pudilova,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,43 of 121,35%,24 of 46,3 of 3,1 of 2,5 of 12,0 of 0,23 of 39,2,75 of 134,55%,23 of 36,0 of 0,0 of 1,11 of 16,0 of 0,12 of 21
Lucie Pudilova,UFC Fight Night: Holm vs. Correia,"Jun. 17, 2017",Ji Yeon Kim,Women's Bantamweight Bout,Lucie Pudilova,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,60 of 162,37%,25 of 86,4 of 5,4 of 4,33 of 94,0 of 1,0 of 0,0,53 of 169,31%,29 of 94,0 of 7,4 of 8,33 of 107,0 of 2,0 of 0
Lucie Pudilova,UFC Fight Night: Manuwa vs. Anderson,"Mar. 18, 2017",Lina Lansberg,Women's Bantamweight Bout,Lucie Pudilova,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,80 of 144,55%,7 of 19,10 of 15,5 of 5,1 of 12,21 of 27,0 of 0,0,99 of 204,48%,9 of 28,13 of 16,1 of 1,10 of 29,13 of 16,0 of 0
Lucie Pudilova,UFC Fight Night: Covington vs. Lawler,"Aug. 03, 2019",Antonina Shevchenko,Women's Flyweight Bout,Lucie Pudilova,3 Rnd (5-5-5),2,1:20,W,L,Submission,0,16 of 23,69%,3 of 4,9 of 13,4 of 4,1 of 1,15 of 20,0 of 0,0,6 of 16,37%,3 of 7,3 of 4,0 of 0,0 of 3,5 of 7,1 of 1
Lucie Pudilova,UFC 228: Woodley vs. Till,"Sep. 08, 2018",Irene Aldana,Women's Bantamweight Bout,Lucie Pudilova,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,119 of 226,52%,18 of 39,2 of 4,7 of 8,25 of 49,2 of 2,0 of 0,0,105 of 329,31%,20 of 90,2 of 4,6 of 8,25 of 98,3 of 4,0 of 0
Lucie Pudilova,UFC Fight Night: Blachowicz vs. Santos,"Feb. 23, 2019",Liz Carmouche,Women's Flyweight Bout,Lucie Pudilova,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,14 of 29,48%,2 of 2,0 of 0,2 of 2,2 of 2,2 of 2,0 of 0,0,33 of 105,31%,5 of 17,1 of 2,0 of 1,3 of 15,2 of 4,1 of 1
Lucie Pudilova,UFC Fight Night: Allen vs. Craig,"Nov. 18, 2023",Lucie Pudilova,Women's Bantamweight Bout,Ailin Perez,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,20 of 42,47%,1 of 6,1 of 2,0 of 2,2 of 10,0 of 0,0 of 0,0,42 of 74,56%,7 of 16,3 of 4,2 of 6,6 of 16,0 of 0,6 of 10
Lucie Pudilova,UFC 278: Usman vs. Edwards,"Aug. 20, 2022",Wu Yanan,Women's Bantamweight Bout,Lucie Pudilova,3 Rnd (5-5-5),2,4:04,L,W,KO/TKO,0,26 of 42,61%,4 of 7,2 of 2,7 of 9,9 of 14,4 of 4,0 of 0,0,39 of 81,48%,6 of 16,3 of 4,0 of 2,2 of 15,3 of 3,4 of 4
Lucie Pudilova,UFC Fight Night: Holloway vs. Allen,"Apr. 15, 2023",Joselyne Edwards,Women's Bantamweight Bout,Lucie Pudilova,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,56 of 114,49%,10 of 25,2 of 4,5 of 7,10 of 25,2 of 4,5 of 7,0,39 of 98,39%,5 of 22,3 of 3,0 of 2,4 of 17,2 of 2,2 of 8
Lucie Pudilova,UFC Fight Night: Blaydes vs. Dos Santos,"Jan. 25, 2020",Justine Kish,Women's Flyweight Bout,Lucie Pudilova,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,62 of 129,48%,5 of 25,6 of 7,10 of 11,16 of 38,5 of 5,0 of 0,0,29 of 143,20%,7 of 41,4 of 5,0 of 0,7 of 42,4 of 4,0 of 0
Claudio Puelles,UFC Fight Night: Maia vs. Usman,"May. 19, 2018",Claudio Puelles,Lightweight Bout,Felipe Silva,3 Rnd (5-5-5),3,2:23,W,L,Submission,0,16 of 49,32%,5 of 9,1 of 1,0 of 0,2 of 5,0 of 0,4 of 5,1,70 of 130,53%,7 of 21,4 of 6,1 of 1,1 of 11,3 of 4,8 of 13
Claudio Puelles,UFC Fight Night: Rodriguez vs. Stephens,"Sep. 21, 2019",Claudio Puelles,Lightweight Bout,Marcos Mariano,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,22 of 34,64%,4 of 4,0 of 1,0 of 0,0 of 1,0 of 0,4 of 4,0,2 of 9,22%,0 of 4,1 of 1,0 of 0,1 of 4,0 of 0,0 of 1
Claudio Puelles,UFC Fight Night: Rozenstruik vs. Sakai,"Jun. 05, 2021",Claudio Puelles,Lightweight Bout,Jordan Leavitt,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,20 of 33,60%,0 of 3,1 of 2,2 of 4,3 of 8,0 of 0,0 of 1,0,21 of 34,61%,0 of 2,3 of 5,9 of 9,12 of 14,0 of 1,0 of 1
Claudio Puelles,UFC Fight Night: Lemos vs. Andrade,"Apr. 23, 2022",Clay Guida,Lightweight Bout,Claudio Puelles,3 Rnd (5-5-5),1,3:01,L,W,Submission,0,3 of 4,75%,1 of 2,0 of 0,2 of 2,2 of 3,0 of 0,1 of 1,0,1 of 3,33%,1 of 2,0 of 1,0 of 0,0 of 2,0 of 0,1 of 1
Claudio Puelles,UFC Fight Night: Font vs. Aldo,"Dec. 04, 2021",Claudio Puelles,Lightweight Bout,Chris Gruetzemacher,3 Rnd (5-5-5),3,3:25,W,L,Submission,0,43 of 68,63%,14 of 20,4 of 5,0 of 0,3 of 4,0 of 0,15 of 21,0,38 of 55,69%,6 of 8,1 of 1,2 of 2,7 of 7,0 of 0,2 of 4
Claudio Puelles,UFC 281: Adesanya vs. Pereira,"Nov. 12, 2022",Dan Hooker,Lightweight Bout,Claudio Puelles,3 Rnd (5-5-5),2,4:06,W,L,KO/TKO,1,29 of 63,46%,2 of 13,2 of 3,6 of 11,10 of 27,0 of 0,0 of 0,0,5 of 18,27%,0 of 4,0 of 1,0 of 0,0 of 5,0 of 0,0 of 0
Claudio Puelles,UFC Fight Night: Moreno vs. Royval 2,"Feb. 24, 2024",Claudio Puelles,Lightweight Bout,Fares Ziam,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,4 of 9,44%,1 of 2,1 of 2,0 of 0,2 of 4,0 of 0,0 of 0,0,31 of 48,64%,8 of 15,0 of 1,1 of 1,3 of 8,0 of 0,6 of 9
Juan Puerta,DWCS 5.10,"Nov. 02, 2021",Shang Zhifa,Flyweight Bout,Juan Puerta,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,19 of 59,32%,1 of 4,0 of 0,1 of 1,2 of 5,0 of 0,0 of 0,0,19 of 48,39%,5 of 11,0 of 1,0 of 2,1 of 8,2 of 3,2 of 3
Mike Pyle,UFC 133: Evans vs Ortiz 2,"Aug. 06, 2011",Rory MacDonald,Welterweight Bout,Mike Pyle,3 Rnd (5-5-5),1,3:54,W,L,KO/TKO,0,24 of 37,64%,21 of 34,0 of 0,3 of 3,4 of 9,1 of 2,19 of 26,0,3 of 17,17%,1 of 15,0 of 0,2 of 2,1 of 13,2 of 3,0 of 1
Mike Pyle,UFC 142: Aldo vs Mendes,"Jan. 14, 2012",Ricardo Funch,Welterweight Bout,Mike Pyle,3 Rnd (5-5-5),1,1:22,L,W,KO/TKO,0,2 of 8,25%,1 of 6,0 of 1,1 of 1,2 of 8,0 of 0,0 of 0,1,11 of 24,45%,6 of 19,3 of 3,2 of 2,6 of 16,2 of 2,3 of 6
Mike Pyle,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,"Dec. 15, 2012",Mike Pyle,Welterweight Bout,James Head,3 Rnd (5-5-5),1,1:55,W,L,KO/TKO,1,9 of 17,52%,7 of 14,1 of 2,1 of 1,2 of 4,2 of 6,5 of 7,0,13 of 25,52%,7 of 18,6 of 7,0 of 0,5 of 14,8 of 11,0 of 0
Mike Pyle,UFC on FX: Johnson vs McCall,"Jun. 08, 2012",Mike Pyle,Welterweight Bout,Josh Neer,3 Rnd (5-5-5),1,4:56,W,L,KO/TKO,1,18 of 28,64%,12 of 21,5 of 6,1 of 1,10 of 16,6 of 8,2 of 4,0,19 of 35,54%,10 of 26,9 of 9,0 of 0,10 of 24,9 of 11,0 of 0
Mike Pyle,UFC 128: Shogun vs Jones,"Mar. 19, 2011",Ricardo Almeida,Welterweight Bout,Mike Pyle,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,48 of 84,57%,5 of 12,5 of 6,4 of 6,9 of 18,5 of 6,0 of 0,0,36 of 73,49%,3 of 13,5 of 5,3 of 3,6 of 15,5 of 6,0 of 0
Mike Pyle,UFC 160: Velasquez vs Silva 2,"May. 25, 2013",Mike Pyle,Welterweight Bout,Rick Story,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,0,33 of 74,44%,1 of 6,1 of 2,2 of 2,3 of 9,0 of 0,1 of 1,1,57 of 111,51%,22 of 45,5 of 7,0 of 0,7 of 16,3 of 4,17 of 32
Mike Pyle,UFC Fight Night: Henderson vs Dos Anjos,"Aug. 23, 2014",Mike Pyle,Welterweight Bout,Jordan Mein,3 Rnd (5-5-5),1,1:12,L,W,KO/TKO,0,2 of 8,25%,0 of 4,0 of 2,2 of 2,2 of 8,0 of 0,0 of 0,1,10 of 15,66%,9 of 14,0 of 0,1 of 1,5 of 8,0 of 0,5 of 7
Mike Pyle,UFC 170: Rousey vs McMann,"Feb. 22, 2014",Mike Pyle,Welterweight Bout,TJ Waldburger,3 Rnd (5-5-5),3,4:03,W,L,KO/TKO,0,56 of 101,55%,4 of 14,4 of 4,3 of 4,4 of 13,6 of 7,1 of 2,0,38 of 89,42%,5 of 13,3 of 3,5 of 6,10 of 18,3 of 4,0 of 0
Mike Pyle,UFC Fight Night: Dos Anjos vs. Alvarez,"Jul. 07, 2016",Mike Pyle,Welterweight Bout,Alberto Mina,3 Rnd (5-5-5),2,1:17,L,W,KO/TKO,0,2 of 12,16%,0 of 3,0 of 0,1 of 2,1 of 4,0 of 1,0 of 0,1,16 of 43,37%,7 of 27,1 of 3,1 of 2,6 of 21,0 of 0,3 of 11
Mike Pyle,UFC Fight Night: Shogun vs Sonnen,"Aug. 17, 2013",Matt Brown,Welterweight Bout,Mike Pyle,3 Rnd (5-5-5),1,0:29,W,L,KO/TKO,1,10 of 18,55%,8 of 15,1 of 2,1 of 1,4 of 11,1 of 1,5 of 6,0,0 of 3,0%,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,0 of 0
Mike Pyle,UFC 207: Nunes vs. Rousey,"Dec. 30, 2016",Mike Pyle,Welterweight Bout,Alex Garcia,3 Rnd (5-5-5),1,3:34,L,W,KO/TKO,0,5 of 24,20%,2 of 21,2 of 2,1 of 1,5 of 23,0 of 1,0 of 0,1,14 of 29,48%,13 of 27,1 of 2,0 of 0,12 of 26,1 of 1,1 of 2
Mike Pyle,UFC Fight Night: Hendricks vs Thompson,"Feb. 06, 2016",Mike Pyle,Welterweight Bout,Sean Spencer,3 Rnd (5-5-5),3,4:25,W,L,KO/TKO,0,75 of 177,42%,13 of 45,3 of 6,6 of 7,22 of 57,0 of 1,0 of 0,1,50 of 208,24%,16 of 72,5 of 6,0 of 0,20 of 76,0 of 0,1 of 2
Mike Pyle,UFC 187: Johnson vs Cormier,"May. 23, 2015",Mike Pyle,Welterweight Bout,Colby Covington,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,16 of 26,61%,2 of 4,1 of 3,0 of 0,1 of 4,1 of 2,1 of 1,0,26 of 51,50%,2 of 12,1 of 1,0 of 0,1 of 8,1 of 3,1 of 2
Mike Pyle,UFC 222: Cyborg vs. Kunitskaya,"Mar. 03, 2018",Mike Pyle,Welterweight Bout,Zak Ottow,3 Rnd (5-5-5),1,2:34,L,W,KO/TKO,0,4 of 20,20%,1 of 15,3 of 5,0 of 0,4 of 20,0 of 0,0 of 0,1,22 of 50,44%,18 of 40,2 of 8,2 of 2,9 of 29,0 of 0,13 of 21
Jens Pulver,UFC 22: Only One Can be Champion,"Sep. 24, 1999",Jens Pulver,Lightweight Bout,Alfonso Alcarez,2 Rnd (5-5),2,5:00,D,D,Decision - Majority,0,48 of 81,59%,25 of 42,5 of 7,4 of 5,1 of 8,23 of 34,10 of 12,0,34 of 62,54%,4 of 13,1 of 1,2 of 2,4 of 7,3 of 9,0 of 0
Jens Pulver,UFC 24: First Defense,"Mar. 10, 2000",Jens Pulver,Lightweight Bout,David Velasquez,3 Rnd (5-5-5),2,2:41,W,L,KO/TKO,0,54 of 107,50%,22 of 45,6 of 7,0 of 0,1 of 2,16 of 24,11 of 26,0,20 of 37,54%,7 of 15,8 of 10,5 of 7,6 of 13,12 of 16,2 of 3
Jens Pulver,UFC 26: Ultimate Field Of Dreams,"Jun. 09, 2000",Jens Pulver,Lightweight Bout,Joao Roque,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,4 of 84,4%,3 of 27,0 of 0,0 of 0,2 of 25,1 of 1,0 of 1,0,5 of 59,8%,1 of 20,1 of 2,0 of 2,2 of 22,0 of 1,0 of 1
Jens Pulver,UFC 30: Battle on the Boardwalk,,Jens Pulver,UFC Lightweight Title Bout,Caol Uno,5 Rnd (5-5-5-5-5),5,5:00,W,L,Decision - Unanimous,0,50 of 131,38%,4 of 11,0 of 0,0 of 0,4 of 11,0 of 0,0 of 0,0,50 of 101,49%,3 of 4,0 of 0,5 of 6,6 of 8,0 of 0,2 of 2
Jens Pulver,UFC 28: High Stakes,"Nov. 17, 2000",Jens Pulver,Lightweight Bout,John Lewis,3 Rnd (5-5-5),1,0:15,W,L,KO/TKO,1,1 of 3,33%,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0,0,0 of 1,0%,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
Jens Pulver,UFC 33: Victory in Vegas,,Jens Pulver,UFC Lightweight Title Bout,Dennis Hallman,5 Rnd (5-5-5-5-5),5,5:00,W,L,Decision - Unanimous,0,27 of 60,45%,0 of 3,0 of 0,1 of 1,0 of 2,0 of 0,1 of 2,0,15 of 48,31%,0 of 5,1 of 2,2 of 3,3 of 8,0 of 1,0 of 1
Jens Pulver,PRIDE Bushido 10,"Apr. 02, 2006",Jens Pulver,Lightweight Bout,Kenji Arai,2 Rnd (10-5),1,3:59,W,L,KO/TKO,1,41 of 68,60%,35 of 60,6 of 7,0 of 1,24 of 45,9 of 13,8 of 10,0,35 of 127,27%,30 of 119,5 of 8,0 of 0,30 of 120,5 of 7,0 of 0
Jens Pulver,PRIDE Shockwave 2004,"Dec. 31, 2004",Takanori Gomi,Lightweight Bout,Jens Pulver,3 Rnd (10-5-5),1,6:21,W,L,KO/TKO,1,71 of 177,40%,53 of 151,16 of 20,2 of 6,62 of 163,9 of 14,0 of 0,0,44 of 119,36%,42 of 115,2 of 4,0 of 0,41 of 113,3 of 6,0 of 0
Jens Pulver,UFC 35: Throwdown,,Jens Pulver,UFC Lightweight Title Bout,BJ Penn,5 Rnd (5-5-5-5-5),5,5:00,W,L,Decision - Majority,0,38 of 98,38%,1 of 7,1 of 1,0 of 0,2 of 6,0 of 0,0 of 2,0,49 of 93,52%,3 of 6,1 of 1,0 of 0,3 of 6,1 of 1,0 of 0
Jens Pulver,PRIDE Bushido 9: The Tournament,"Sep. 25, 2005",Hayato Sakurai,Lightweight Bout,Jens Pulver,2 Rnd (10-5),1,8:56,W,L,KO/TKO,1,64 of 123,52%,38 of 85,13 of 15,13 of 23,55 of 109,4 of 8,5 of 6,1,23 of 81,28%,20 of 76,3 of 5,0 of 0,21 of 75,2 of 6,0 of 0
Jens Pulver,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,"Jun. 23, 2007",BJ Penn,Lightweight Bout,Jens Pulver,3 Rnd (5-5-5),2,3:12,W,L,Submission,0,23 of 31,74%,11 of 15,2 of 2,0 of 0,7 of 11,2 of 2,4 of 4,0,6 of 18,33%,4 of 14,1 of 1,0 of 0,1 of 8,2 of 2,2 of 5
Jens Pulver,UFC 63: Hughes vs Penn,"Sep. 23, 2006",Joe Lauzon,Lightweight Bout,Jens Pulver,3 Rnd (5-5-5),1,0:48,W,L,KO/TKO,1,9 of 11,81%,9 of 11,0 of 0,0 of 0,3 of 4,1 of 1,5 of 6,0,0 of 1,0%,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
Jens Pulver,PRIDE Bushido 7,"May. 22, 2005",Jens Pulver,Lightweight Bout,Tomomi Iwama,2 Rnd (10-5),1,1:00,W,L,KO/TKO,1,3 of 10,30%,2 of 8,1 of 2,0 of 0,1 of 8,1 of 1,1 of 1,0,1 of 5,20%,0 of 2,0 of 0,1 of 3,1 of 5,0 of 0,0 of 0
Jens Pulver,WEC 36: Faber vs. Brown,"Nov. 05, 2008",Leonard Garcia,Featherweight Bout,Jens Pulver,3 Rnd (5-5-5),1,1:12,W,L,KO/TKO,1,8 of 28,28%,8 of 26,0 of 0,0 of 2,6 of 22,0 of 2,2 of 4,0,2 of 9,22%,2 of 8,0 of 0,0 of 1,2 of 9,0 of 0,0 of 0
Jens Pulver,WEC 34: Faber vs. Pulver,,Urijah Faber,WEC Featherweight Title Bout,Jens Pulver,5 Rnd (5-5-5-5-5),5,5:00,W,L,Decision - Unanimous,1,95 of 209,45%,14 of 47,4 of 5,1 of 1,13 of 41,6 of 12,0 of 0,0,45 of 154,29%,7 of 42,3 of 6,0 of 0,7 of 37,3 of 11,0 of 0
Jens Pulver,WEC 31: Faber vs. Curran,"Dec. 12, 2007",Jens Pulver,Featherweight Bout,Cub Swanson,3 Rnd (5-5-5),1,0:35,W,L,Submission,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
Jens Pulver,WEC 38: Varner vs. Cerrone,"Jan. 25, 2009",Urijah Faber,Featherweight Bout,Jens Pulver,3 Rnd (5-5-5),1,1:34,W,L,Submission,0,4 of 21,19%,3 of 15,1 of 6,0 of 0,3 of 15,1 of 6,0 of 0,0,1 of 9,11%,0 of 7,1 of 1,0 of 1,0 of 8,1 of 1,0 of 0
Jens Pulver,WEC 47: Bowles vs. Cruz,"Mar. 06, 2010",Javier Vazquez,Featherweight Bout,Jens Pulver,3 Rnd (5-5-5),1,3:41,W,L,Submission,0,3 of 15,20%,3 of 12,0 of 2,0 of 1,2 of 12,0 of 0,1 of 3,0,8 of 13,61%,3 of 7,0 of 0,5 of 6,5 of 9,0 of 0,3 of 4
Jens Pulver,WEC 41: Brown vs. Faber 2,"Jun. 07, 2009",Josh Grispi,Featherweight Bout,Jens Pulver,3 Rnd (5-5-5),1,0:33,W,L,Submission,0,2 of 5,40%,1 of 3,1 of 2,0 of 0,2 of 5,0 of 0,0 of 0,0,1 of 2,50%,0 of 1,1 of 1,0 of 0,1 of 2,0 of 0,0 of 0
Joe Pyfer,DWCS 6.1,"Jul. 26, 2022",Ozzy Diaz,Middleweight Bout,Joe Pyfer,3 Rnd (5-5-5),2,1:39,L,W,KO/TKO,0,11 of 34,32%,3 of 15,0 of 0,0 of 0,3 of 14,0 of 0,0 of 1,1,26 of 47,55%,8 of 14,0 of 0,2 of 2,10 of 16,0 of 0,0 of 0
Joe Pyfer,UFC Fight Night: Dawson vs. Green,"Oct. 07, 2023",Joe Pyfer,Middleweight Bout,Abdul Razak Alhassan,3 Rnd (5-5-5),2,2:05,W,L,Submission,0,26 of 62,41%,12 of 34,6 of 9,2 of 3,19 of 45,1 of 1,0 of 0,0,11 of 28,39%,3 of 11,2 of 3,2 of 5,7 of 18,0 of 1,0 of 0
Joe Pyfer,UFC 287: Pereira vs. Adesanya 2,"Apr. 08, 2023",Gerald Meerschaert,Middleweight Bout,Joe Pyfer,3 Rnd (5-5-5),1,3:15,L,W,KO/TKO,0,10 of 21,47%,1 of 12,2 of 2,7 of 7,10 of 21,0 of 0,0 of 0,0,14 of 24,58%,6 of 16,8 of 8,0 of 0,6 of 11,0 of 0,8 of 13
Joe Pyfer,UFC Fight Night: Hermansson vs. Pyfer,"Feb. 10, 2024",Jack Hermansson,Middleweight Bout,Joe Pyfer,5 Rnd (5-5-5-5-5),5,5:00,W,L,Decision - Unanimous,0,121 of 235,51%,3 of 21,8 of 9,5 of 8,16 of 38,0 of 0,0 of 0,0,92 of 250,36%,11 of 41,9 of 10,4 of 7,24 of 58,0 of 0,0 of 0
Cole Province,WEC 37: Torres vs. Tapia,"Dec. 03, 2008",Diego Nunes,Featherweight Bout,Cole Province,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,50 of 94,53%,0 of 8,6 of 10,8 of 10,4 of 14,10 of 13,0 of 1,0,19 of 36,52%,2 of 10,6 of 6,0 of 0,2 of 10,6 of 6,0 of 0
Cole Province,WEC 51: Aldo vs. Gamburyan,"Sep. 30, 2010",Mike Brown,Featherweight Bout,Cole Province,3 Rnd (5-5-5),1,1:18,W,L,KO/TKO,1,7 of 15,46%,6 of 14,0 of 0,1 of 1,3 of 7,0 of 0,4 of 8,0,0 of 6,0%,0 of 6,0 of 0,0 of 0,0 of 6,0 of 0,0 of 0
Cole Province,WEC 42: Torres vs. Bowles,"Aug. 09, 2009",Cole Province,Featherweight Bout,Fredson Paixao,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,27 of 61,44%,4 of 14,3 of 4,3 of 3,1 of 6,6 of 8,3 of 7,0,28 of 41,68%,3 of 5,6 of 7,3 of 4,1 of 3,8 of 10,3 of 3
Joe Proctor,The Ultimate Fighter: Live Finale,"Jun. 01, 2012",Joe Proctor,Lightweight Bout,Jeremy Larsen,3 Rnd (5-5-5),1,1:59,W,L,KO/TKO,1,10 of 28,35%,8 of 26,1 of 1,1 of 1,7 of 24,1 of 2,2 of 2,0,13 of 29,44%,8 of 22,5 of 7,0 of 0,13 of 29,0 of 0,0 of 0
Joe Proctor,UFC Fight Night: Machida vs Mousasi,"Feb. 15, 2014",Cristiano Marcello,Lightweight Bout,Joe Proctor,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,26 of 100,26%,1 of 4,0 of 2,1 of 5,1 of 8,0 of 1,1 of 2,0,67 of 174,38%,2 of 10,1 of 1,1 of 1,4 of 11,0 of 0,0 of 1
Lara Procopio,UFC Fight Night: Overeem vs. Volkov,"Feb. 06, 2021",Molly McCann,Women's Flyweight Bout,Lara Procopio,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,37 of 47,78%,8 of 13,4 of 4,2 of 2,7 of 12,5 of 5,2 of 2,0,36 of 58,62%,6 of 16,5 of 6,2 of 3,8 of 19,2 of 3,3 of 3
Lara Procopio,UFC Fight Night: Andrade vs. Zhang,"Aug. 31, 2019",Karol Rosa,Women's Bantamweight Bout,Lara Procopio,3 Rnd (5-5-5),3,5:00,W,L,Decision - Split,1,171 of 351,48%,34 of 98,3 of 5,20 of 25,57 of 128,0 of 0,0 of 0,0,165 of 290,56%,40 of 85,8 of 8,18 of 19,64 of 110,2 of 2,0 of 0
Shane Primm,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"Dec. 13, 2008",Krzysztof Soszynski,Light Heavyweight Bout,Shane Primm,3 Rnd (5-5-5),2,3:27,W,L,Submission,0,19 of 50,38%,10 of 23,2 of 2,1 of 1,7 of 15,2 of 4,4 of 7,0,7 of 26,26%,1 of 8,3 of 5,1 of 1,0 of 5,5 of 9,0 of 0
Chris Price,UFC Fight Night: Evans vs Salmon,"Jan. 25, 2007",Ed Herman,Middleweight Bout,Chris Price,3 Rnd (5-5-5),1,2:58,W,L,Submission,0,5 of 9,55%,5 of 9,0 of 0,0 of 0,0 of 1,1 of 1,4 of 7,0,5 of 5,100%,1 of 1,4 of 4,0 of 0,1 of 1,4 of 4,0 of 0
Chris Price,Ortiz vs Shamrock 3: The Final Chapter,"Oct. 10, 2006",Kendall Grove,Middleweight Bout,Chris Price,3 Rnd (5-5-5),1,3:59,W,L,KO/TKO,0,13 of 26,50%,12 of 25,1 of 1,0 of 0,1 of 4,1 of 1,11 of 21,0,5 of 10,50%,2 of 7,3 of 3,0 of 0,2 of 5,3 of 3,0 of 2
Philip Preece,KOTC 14,"Jun. 19, 2002",Keith Jardine,Light Heavyweight Bout,Philip Preece,2 Rnd (5-5),2,5:00,W,L,Decision - Unanimous,0,7 of 19,36%,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0,8 of 11,72%,0 of 0,0 of 0,1 of 1,1 of 1,0 of 0,0 of 0
Niko Price,UFC 207: Nunes vs. Rousey,"Dec. 30, 2016",Brandon Thatch,Welterweight Bout,Niko Price,3 Rnd (5-5-5),1,4:30,L,W,Submission,0,8 of 14,57%,4 of 9,0 of 0,4 of 5,5 of 11,3 of 3,0 of 0,0,6 of 16,37%,3 of 12,1 of 1,2 of 3,4 of 12,1 of 1,1 of 3
Carlos Prates,DWCS 7.4,"Aug. 29, 2023",Mitch Ramirez,Welterweight Bout,Carlos Prates,3 Rnd (5-5-5),2,1:14,L,W,KO/TKO,0,23 of 44,52%,9 of 28,2 of 3,10 of 11,20 of 39,1 of 3,0 of 0,1,30 of 47,63%,12 of 22,7 of 7,2 of 3,21 of 32,0 of 0,0 of 0
Carlo Prater,WEC 32: Condit vs. Prater,,Carlos Condit,WEC Welterweight Title Bout,Carlo Prater,5 Rnd (5-5-5-5-5),1,3:48,W,L,Submission,0,5 of 8,62%,1 of 3,1 of 2,3 of 3,3 of 6,1 of 1,1 of 1,0,2 of 9,22%,2 of 7,0 of 0,0 of 2,0 of 3,0 of 0,2 of 6
Michel Prazeres,UFC on FX: Belfort vs. Rockhold,"May. 18, 2013",Paulo Thiago,Welterweight Bout,Michel Prazeres,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,46 of 92,50%,4 of 15,5 of 7,7 of 7,7 of 20,9 of 9,0 of 0,0,30 of 63,47%,3 of 12,2 of 6,5 of 5,7 of 20,2 of 2,1 of 1
Ricardo Prasel,DWCS 3.4,"Jul. 16, 2019",Ricardo Prasel,Heavyweight Bout,Don'Tale Mayes,3 Rnd (5-5-5),1,4:59,L,W,KO/TKO,0,11 of 19,57%,1 of 6,1 of 1,9 of 12,9 of 16,2 of 3,0 of 0,1,39 of 62,62%,28 of 49,6 of 8,5 of 5,21 of 41,15 of 18,3 of 3
Francisco Prado,UFC Fight Night: Holm vs. Bueno Silva,"Jul. 15, 2023",Ottman Azaitar,Lightweight Bout,Francisco Prado,3 Rnd (5-5-5),1,4:05,L,W,KO/TKO,0,14 of 33,42%,6 of 20,7 of 11,1 of 2,12 of 28,2 of 5,0 of 0,1,38 of 57,66%,31 of 46,2 of 6,5 of 5,17 of 30,1 of 1,20 of 26
