fighter,event,event_date,fighter_1,weight_class,fighter_2,fight_format,number_of_rounds,length_of_fight,fighter_1_outcome,fighter_2_outcome,fight_outcome_method,fighter_1_tot_kd,fighter_1_tot_sig.str,fighter_1_tot_sig.str%,fighter_1_tot_ss_head,fighter_1_tot_ss_bod,fighter_1_tot_ss_leg,fighter_1_tot_ss_dist,fighter_1_tot_ss_clinch,fighter_1_tot_ss_grnd,fighter_2_tot_kd,fighter_2_tot_sig.str,fighter_2_tot_sig.str%,fighter_2_tot_ss_head,fighter_2_tot_ss_bod,fighter_2_tot_ss_leg,fighter_2_tot_ss_dist,fighter_2_tot_ss_clinch,fighter_2_tot_ss_grnd
Jeremy Stephens,UFC Fight Night: Rodriguez vs. Stephens,"Sep. 21, 2019",Yair Rodriguez,Featherweight Bout,Jeremy Stephens,5 Rnd (5-5-5-5-5),1,0:15,NC,NC,Could Not Continue,0,2 of 2,100%,0 of 0,0 of 0,2 of 2,2 of 2,0 of 0,0 of 0,0,0 of 1,0%,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,0 of 0
Jeremy Stephens,UFC 249: Ferguson vs. Gaethje,"May. 09, 2020",Jeremy Stephens,Featherweight Bout,Calvin Kattar,3 Rnd (5-5-5),2,2:49,L,W,KO/TKO,0,57 of 104,54%,16 of 36,7 of 10,17 of 18,40 of 64,0 of 0,0 of 0,1,52 of 113,46%,15 of 54,7 of 8,4 of 4,26 of 65,0 of 1,0 of 0
Jeremy Stephens,UFC Fight Night: Reyes vs. Weidman,"Oct. 18, 2019",Yair Rodriguez,Featherweight Bout,Jeremy Stephens,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,96 of 170,56%,18 of 43,9 of 13,12 of 14,34 of 61,4 of 8,1 of 1,0,50 of 95,52%,3 of 14,4 of 4,4 of 6,9 of 21,2 of 3,0 of 0
Darren Stewart,The Ultimate Fighter: Heavy Hitters Finale,"Nov. 30, 2018",Darren Stewart,Middleweight Bout,Edmen Shahbazyan,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,34 of 71,47%,8 of 24,3 of 3,0 of 1,3 of 20,8 of 8,0 of 0,0,22 of 37,59%,7 of 13,3 of 3,1 of 1,5 of 9,6 of 8,0 of 0
Darren Stewart,UFC Fight Night: Thompson vs. Till,"May. 27, 2018",Eric Spicely,Middleweight Bout,Darren Stewart,3 Rnd (5-5-5),2,1:47,L,W,KO/TKO,0,15 of 75,20%,8 of 50,0 of 5,3 of 3,11 of 57,0 of 1,0 of 0,1,34 of 90,37%,11 of 44,6 of 6,0 of 0,14 of 46,3 of 4,0 of 0
Joe Stevenson,UFC Live: Kongo vs Barry,"Jun. 26, 2011",Joe Stevenson,Featherweight Bout,Javier Vazquez,3 Rnd (5-5-5),3,5:00,L,W,Decision - Unanimous,0,27 of 76,35%,1 of 5,1 of 1,0 of 0,2 of 6,0 of 0,0 of 0,0,62 of 161,38%,4 of 16,5 of 5,0 of 0,4 of 15,0 of 0,5 of 6
Darren Stewart,UFC Fight Night: Reyes vs. Weidman,"Oct. 18, 2019",Deron Winn,Middleweight Bout,Darren Stewart,3 Rnd (5-5-5),3,5:00,L,W,Decision - Split,0,29 of 53,54%,9 of 9,0 of 0,3 of 3,1 of 1,2 of 2,9 of 9,0,57 of 119,47%,13 of 18,1 of 2,0 of 0,2 of 4,6 of 9,6 of 7
Ken Stone,UFC Fight Night: Shields vs Ellenberger,"Sep. 17, 2011",Ken Stone,Bantamweight Bout,Donny Walker,3 Rnd (5-5-5),1,2:40,W,L,Submission,0,7 of 12,58%,1 of 6,4 of 4,2 of 2,3 of 8,3 of 3,1 of 1,0,1 of 3,33%,1 of 3,0 of 0,0 of 0,1 of 3,0 of 0,0 of 0
Alex Stiebling,PRIDE 21: Demolition,"Jun. 23, 2002",Anderson Silva,Middleweight Bout,Alex Stiebling,3 Rnd (10-5-5),1,1:23,W,L,TKO - Doctor's Stoppage,0,6 of 8,75%,6 of 8,0 of 0,0 of 0,6 of 8,0 of 0,0 of 0,0,4 of 14,28%,1 of 9,0 of 1,3 of 4,4 of 14,0 of 0,0 of 0
Alex Stiebling,PRIDE 25: Body Blow,"Mar. 16, 2003",Akira Shoji,Middleweight Bout,Alex Stiebling,3 Rnd (10-5-5),3,5:00,W,L,Decision - Split,1,29 of 83,34%,7 of 22,0 of 0,3 of 5,3 of 9,0 of 0,7 of 18,0,52 of 149,34%,1 of 7,1 of 1,2 of 3,3 of 9,1 of 2,0 of 0
Laureano Staropoli,UFC Fight Night: Maia vs. Askren,"Oct. 26, 2019",Muslim Salikhov,Welterweight Bout,Laureano Staropoli,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,63 of 132,47%,2 of 14,3 of 4,3 of 3,8 of 21,0 of 0,0 of 0,0,42 of 138,30%,3 of 19,3 of 6,0 of 0,6 of 25,0 of 0,0 of 0
Dominique Steele,UFC 197: Jones vs Saint Preux,"Apr. 23, 2016",Danny Roberts,Welterweight Bout,Dominique Steele,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,60 of 112,53%,1 of 4,6 of 7,2 of 2,5 of 7,4 of 5,0 of 1,1,34 of 75,45%,6 of 12,4 of 6,0 of 0,2 of 4,5 of 9,3 of 5
Dominique Steele,UFC Fight Night: Rodriguez vs. Caceres,"Aug. 06, 2016",Court McGee,Welterweight Bout,Dominique Steele,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,15 of 39,38%,3 of 10,1 of 4,0 of 0,2 of 12,2 of 2,0 of 0,0,23 of 65,35%,6 of 19,1 of 1,0 of 0,4 of 16,3 of 4,0 of 0
Laureano Staropoli,UFC Fight Night: Lewis vs. Oleinik,"Aug. 08, 2020",Tim Means,Welterweight Bout,Laureano Staropoli,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,1,85 of 147,57%,15 of 40,8 of 9,3 of 3,21 of 42,5 of 10,0 of 0,0,71 of 161,44%,22 of 49,9 of 19,2 of 2,32 of 69,1 of 1,0 of 0
Brian Stann,The Ultimate Fighter: Heavyweights Finale,"Dec. 05, 2009",Brian Stann,Light Heavyweight Bout,Rodney Wallace,3 Rnd (5-5-5),3,5:00,W,L,Decision - Unanimous,0,36 of 67,53%,4 of 12,2 of 4,5 of 5,5 of 13,6 of 8,0 of 0,0,15 of 35,42%,4 of 14,2 of 4,0 of 0,3 of 11,1 of 4,2 of 3
Brian Stann,WEC 28: Faber vs. Farrar,"Jun. 03, 2007",Brian Stann,Light Heavyweight Bout,Craig Zellner,3 Rnd (5-5-5),1,4:57,W,L,KO/TKO,0,23 of 59,38%,17 of 52,4 of 5,2 of 2,7 of 33,8 of 14,8 of 12,0,3 of 32,9%,3 of 32,0 of 0,0 of 0,3 of 31,0 of 1,0 of 0
Brian Stann,UFC 97: Redemption,"Apr. 18, 2009",Krzysztof Soszynski,Light Heavyweight Bout,Brian Stann,3 Rnd (5-5-5),1,3:53,W,L,Submission,0,3 of 11,27%,0 of 5,2 of 4,1 of 2,3 of 9,0 of 2,0 of 0,0,8 of 18,44%,4 of 13,1 of 1,3 of 4,4 of 13,4 of 5,0 of 0
